States,Latitude,Longtitude,Confirmed,Cured,Deaths,Origins,Origins Latitude,Origins Longitude,"
"
Andhra Pradesh,15.9129,79.74,1,0,0,,,,
Arunachal Pradesh,28.2180,94.7278,0,0,0,,,,
Assam,26.2006,92.9376,0,0,0,,,,
Bihar,25.0961,85.3131,0,0,0,,,,
Chhattisgarh,21.2787,81.8661,0,0,0,,,,
Goa,15.2993,74.124,0,0,0,,,,
Gujarat,22.2587,71.1924,0,0,0,,,,
Haryana,29.0588,76.0856,14,0,0,"[""italy:14""]",[41.8719],[12.5674],
Himachal Pradesh,31.1048,77.1734,0,0,0,,,,
Jharkhand,23.6102,85.2799,0,0,0,,,,
Karnataka,15.3173,75.7139,7,0,1,,,,
Kerala,10.8505,76.2711,24,3,0,"[""Wuhan:3"",""Italy:6""]",[30.5928],[114.3055Â°],
Madhya Pradesh,22.9734,78.6569,0,0,0,,,,
Maharashtra,19.7515,75.7139,33,0,0,,,,
Manipur,24.6637,93.9063,0,0,0,,,,
Meghalaya,25.4670,91.3662,0,0,0,,,,
Mizoram,23.1645,92.9376,0,0,0,,,,
Nagaland,26.1584,94.5624,0,0,0,,,,
Odisha,20.9517,85.0985,0,0,0,,,,
Punjab,31.1471,75.3412,1,0,0,"[""Italy:1""]",[41.8719],[12.5674],
Rajasthan,27.0238,74.2179,4,0,0,,,,
Sikkim,27.5330,88.5122,0,0,0,,,,
Tamil Nadu,11.1271,78.6569,1,0,0,"[""Oman:2""]",[21.4735],[55.9754],
Telangana,18.1124,79.0193,3,1,0,,,,
Tripura,23.9408,91.9882,0,0,0,,,,
Uttar Pradesh,26.8467,80.9462,13,4,0,"[""Italy:6"",""Iran:1""]",[41.8719],[12.5674],
Uttarakhand,30.0668,79.0193,0,0,0,,,,
West Bengal,22.9868,87.855,0,0,0,,,,
Andaman and Nicobar Islands,11.7401,92.6586,0,0,0,,,,
Chandigarh,30.7333,76.7794,0,0,0,,,,
Dadra Nagar Haveli and Daman Diu,20.4283,72.8397,0,0,0,,,,
Delhi,28.7041,77.1025,7,2,1,"[""Italy:19""]",[41.8719],[12.5674],
Jammu,32.7266,74.857,1,0,0,"[""Iran:1""]",,,
Kashmir,33.7782,76.5762,1,0,0,,,,
Ladakh,34.2996,78.2932,3,0,0,,,,
Lakshadweep,13.7000,72.1833,0,0,0,,,,
